Access,Start time (s),Stop time (s),Duration (s),Scheduled
1,6837,7354,517,N
2,23916,24504,588,Y
3,29751,30099,348,Y
4,60592,61025,433,N
5,65340,65751,411,Y
6,70973,71549,576,N
7,71954,72532,578,N
8,77737,78291,554,N
9,83484,84075,591,N
10,89215,89800,585,N
11,95054,95322,268,Y
12,106372,106842,470,Y
13,112047,112605,558,Y
14,148622,149188,566,N
15,153366,153954,588,N
16,154327,154924,597,N
17,159207,159559,352,Y
18,165873,166444,571,N
19,171604,172208,604,N
20,177362,177852,490,Y
21,194425,195021,596,Y
22,200321,200556,235,Y
