Access,Start time (s),Stop time (s),Duration (s),Scheduled
1,5367,10937,5570,N
2,11204,16774,5570,N
3,16951,22521,5570,Y
4,28430,34000,5570,N
5,34307,39877,5570,Y
6,46421,51991,5570,Y
7,58049,63619,5570,N
8,63772,69342,5570,N
9,69513,75083,5570,N
10,75349,80919,5570,N
11,81376,86946,5570,N
12,87459,93029,5570,N
13,93369,98939,5570,N
14,99149,104719,5570,N
15,104876,110446,5570,N
16,110608,116178,5570,N
17,116414,121984,5570,N
18,122392,127962,5570,N
19,128487,134057,5570,N
20,134437,140007,5570,N
21,140238,145808,5570,N
22,145971,151541,5570,N
23,151696,157266,5570,N
24,157475,163045,5570,N
25,163402,168972,5570,N
26,169496,175066,5570,N
27,175495,181065,5570,N
28,181325,186895,5570,N
29,187070,192640,5570,N
30,192792,198362,5570,N
31,198552,204122,5570,N
32,204435,210005,5570,N
33,210504,216074,5570,N
34,216541,222111,5570,N
35,222402,227972,5570,N
