,Jb0
532,Idle
533,Idle
534,Idle
535,Idle
536,Idle
537,Idle
538,Idle
539,Idle
540,Idle
541,Idle
542,Idle
543,Idle
544,Idle
545,Idle
546,Idle
547,Idle
548,Idle
549,Idle
550,Idle
551,Idle
552,Idle
553,Idle
554,Idle
555,Idle
556,Skip
557,Idle
558,Idle
559,Idle
560,Idle
561,Idle
562,Idle
563,Idle
564,Idle
565,Idle
566,Idle
567,Idle
568,Idle
569,Idle
570,Idle
571,Idle
572,Idle
573,Idle
574,Idle
575,Idle
576,Idle
577,Idle
578,Idle
579,Idle
580,Idle
581,Idle
582,Idle
583,Idle
584,Idle
585,Idle
586,Idle
587,Idle
588,Idle
589,Idle
590,Idle
591,Idle
592,Idle
593,Idle
594,Idle
595,Idle
596,Idle
597,Idle
598,Idle
599,Idle
600,Skip
601,Idle
602,Idle
603,Idle
604,Idle
605,Idle
606,Idle
607,Idle
608,Idle
609,Idle
610,Idle
611,Idle
612,Idle
613,Idle
614,Idle
615,Idle
616,Skip
617,Idle
618,Idle
619,Idle
620,Idle
621,Idle
622,Idle
623,Idle
624,Idle
625,Idle
626,Idle
627,Idle
628,Idle
629,Idle
630,Idle
631,Idle
632,Idle
633,Idle
634,Idle
635,Idle
636,Idle
637,Idle
638,Idle
639,Idle
640,Idle
641,Idle
642,Idle
643,Idle
644,Idle
645,Idle
646,Idle
647,Idle
648,Idle
649,Idle
650,Idle
651,Idle
652,Idle
653,Idle
654,Idle
655,Idle
656,Idle
657,Idle
658,Idle
659,Idle
660,Skip
661,Idle
662,Idle
663,Idle
664,Idle
665,Idle
666,Idle
667,Idle
668,Idle
669,Idle
670,Idle
671,Idle
672,Idle
673,Idle
674,Idle
675,Idle
676,Idle
677,Idle
678,Idle
679,Idle
680,Idle
681,Idle
682,Idle
683,Idle
684,Idle
685,Idle
686,Idle
687,Idle
688,Idle
689,Idle
690,Idle
691,Idle
692,Idle
693,Idle
694,Idle
695,Idle
696,Idle
697,Idle
698,Idle
699,Idle
700,Idle
701,Idle
702,Idle
703,Idle
704,Skip
705,Idle
706,Idle
707,Idle
708,Idle
709,Idle
710,Idle
711,Idle
712,Idle
713,Idle
714,Idle
715,Idle
716,Idle
717,Idle
718,Idle
719,Idle
720,Idle
721,Idle
722,Idle
723,Idle
724,Skip
725,Idle
726,Idle
727,Idle
728,Idle
729,Idle
730,Idle
731,Idle
732,Idle
733,Idle
734,Idle
735,Idle
736,Idle
737,Idle
738,Idle
739,Idle
740,Skip
741,Idle
742,Idle
743,Idle
744,Idle
745,Idle
746,Idle
747,Idle
748,Idle
749,Idle
750,Idle
751,Idle
752,Idle
753,Idle
754,Idle
755,Idle
756,Skip
757,Idle
758,Idle
759,Idle
760,Idle
761,Idle
762,Idle
763,Idle
764,Idle
765,Idle
766,Idle
767,Idle
768,Idle
769,Idle
770,Idle
771,Idle
772,Idle
773,Idle
774,Idle
775,Idle
776,Idle
777,Idle
778,Idle
779,Idle
780,Idle
781,Idle
782,Idle
783,Idle
784,Idle
785,Idle
786,Idle
787,Idle
788,Idle
789,Skip
790,Idle
791,Idle
792,Idle
793,Idle
794,Idle
795,Idle
796,Idle
797,Idle
798,Idle
799,Idle
800,Idle
801,Idle
802,Idle
803,Idle
804,Idle
805,Idle
806,Idle
807,Idle
808,Idle
809,Idle
810,Idle
811,Idle
812,Idle
813,Idle
814,Idle
815,Idle
816,Skip
817,Idle
818,Idle
819,Idle
820,Idle
821,Idle
822,Idle
823,Idle
824,Idle
825,Idle
826,Idle
827,Idle
828,Idle
829,Idle
830,Idle
831,Idle
832,Idle
833,Idle
834,Idle
835,Idle
836,Idle
837,Idle
838,Idle
839,Idle
840,Idle
841,Idle
842,Idle
843,Idle
844,Idle
845,Idle
846,Idle
847,Idle
848,Idle
849,Idle
850,Idle
851,Idle
852,Idle
853,Idle
854,Idle
855,Idle
856,Skip
857,Idle
858,Idle
859,Idle
860,Idle
861,Idle
862,Idle
863,Idle
864,Idle
865,Idle
866,Idle
867,Idle
868,Idle
869,Idle
870,Idle
871,Idle
872,Idle
873,Idle
874,Idle
875,Idle
876,Idle
877,Idle
878,Idle
879,Idle
880,Idle
881,Idle
882,Idle
883,Idle
884,Idle
885,Idle
886,Idle
887,Idle
888,Idle
889,Idle
890,Idle
891,Idle
892,Idle
893,Idle
894,Idle
895,Idle
896,Skip
897,Idle
898,Idle
899,Idle
900,Idle
901,Idle
902,Idle
903,Idle
904,Idle
905,Idle
906,Idle
907,Idle
908,Idle
909,Idle
910,Idle
911,Idle
912,Idle
913,Idle
914,Idle
915,Idle
916,Idle
917,Idle
918,Idle
919,Idle
920,Idle
921,Idle
922,Idle
923,Idle
924,Idle
925,Idle
926,Idle
927,Idle
928,Idle
929,Idle
930,Idle
931,Idle
932,Idle
933,Idle
934,Idle
935,Idle
936,Idle
937,Idle
938,Idle
939,Idle
940,Idle
941,Idle
942,Idle
943,Idle
944,Idle
945,Idle
946,Idle
947,Idle
948,Idle
949,Idle
950,Idle
951,Idle
952,Idle
953,Idle
954,Idle
955,Idle
956,Idle
957,Idle
958,Skip
959,Idle
960,Idle
961,Idle
962,Idle
963,Idle
964,Idle
965,Idle
966,Idle
967,Idle
968,Idle
969,Idle
970,Idle
971,Idle
972,Idle
973,Idle
974,Idle
975,Idle
976,Idle
977,Idle
978,Idle
979,Idle
980,Idle
981,Idle
982,Idle
983,Idle
984,Idle
985,Idle
986,Idle
987,Idle
988,Idle
989,Idle
990,Idle
991,Idle
992,Idle
993,Idle
994,Skip
995,Idle
996,Idle
997,Idle
998,Idle
999,Idle
1000,Idle
1001,Idle
1002,Idle
1003,Idle
1004,Idle
1005,Idle
1006,Idle
1007,Idle
1008,Idle
1009,Idle
1010,Idle
1011,Idle
1012,Idle
1013,Idle
1014,Idle
1015,Idle
1016,Idle
1017,Idle
1018,Idle
1019,Idle
1020,Idle
1021,Idle
1022,Idle
1023,Idle
1024,Idle
