Access,Start time (s),Stop time (s),Duration (s),Scheduled
1,60917,61141,224,Y
2,66429,66947,518,Y
3,72087,72667,580,Y
4,77787,78366,579,Y
5,83507,84023,516,Y
6,89317,89530,213,Y
